Id;Code;Number;Symbol;Name;Country id;Country Name;Used;Main
248;UAH;980;₴;Hryvnia;237;UKRAINE;+;+
251;USD;840;$;US Dollar;240;UNITED STATES;+;
77;EUR;978;€;Euro;0;EUROPEAN UNION;+;
196;RUB;643;руб;Russian Ruble;190;RUSSIAN FEDERATION;+;
153;XUA;965;;ADB Unit of Account;0;MEMBER COUNTRIES OF THE AFRICAN DEVELOPMENT BANK GROUP;;
1;AFN;971;؋;Afghani;2;AFGHANISTAN;;
4;DZD;12;دج;Algerian Dinar;5;ALGERIA;;
10;ARS;32;$;Argentine Peso;12;ARGENTINA;;
11;AMD;51;դր.;Armenian Dram;13;ARMENIA;;
12;AWG;533;Afl.;Aruban Florin;0;ARUBA;;
13;AUD;36;$;Australian Dollar;15;AUSTRALIA;;
15;AZN;944;ман;Azerbaijanian Manat;17;AZERBAIJAN;;
16;BSD;44;B$;Bahamian Dollar;18;BAHAMAS;;
17;BHD;48;.د.ب;Bahraini Dinar;21;BAHRAIN;;
236;THB;764;฿;Baht;224;THAILAND;;
183;PAB;590;B./;Balboa;175;PANAMA;;
19;BBD;52;Bds$;Barbados Dollar;23;BARBADOS;;
20;BYR;974;Br;Belarussian Ruble;24;BELARUS;;
22;BZD;84;BZ$;Belize Dollar;26;BELIZE;;
24;BMD;60;BD$;Bermudian Dollar;28;BERMUDA;;
260;VEF;937;Bs.;Bolivar;245;VENEZUELA  BOLIVARIAN REPUBLIC OF;;
27;BOB;68;Bs.;Boliviano;30;BOLIVIA  PLURINATIONAL STATE OF;;
269;XBA;955;;Bond Markets Unit European Composite Unit (EURCO);0;ZZ01_Bond Markets Unit European_EURCO;;
270;XBB;956;;Bond Markets Unit European Monetary Unit (E.M.U.-6);0;ZZ02_Bond Markets Unit European_EMU-6;;
272;XBD;958;;Bond Markets Unit European Unit of Account 17 (E.U.A.-17);0;ZZ04_Bond Markets Unit European_EUA-17;;
271;XBC;957;;Bond Markets Unit European Unit of Account 9 (E.U.A.-9);0;ZZ03_Bond Markets Unit European_EUA-9;;
33;BRL;986;R$;Brazilian Real;34;BRAZIL;;
35;BND;96;B$;Brunei Dollar;36;BRUNEI DARUSSALAM;;
36;BGN;975;лв;Bulgarian Lev;37;BULGARIA;;
38;BIF;108;FBu;Burundi Franc;39;BURUNDI;;
41;CAD;124;$;Canadian Dollar;42;CANADA;;
42;CVE;132;Esc;Cape Verde Escudo;43;CAPE VERDE;;
43;KYD;136;$;Cayman Islands Dollar;44;CAYMAN ISLANDS;;
23;XOF;952;CFA;CFA Franc BCEAO;27;BENIN;;
40;XAF;950;CFA;CFA Franc BEAC;41;CAMEROON;;
84;XPF;953;F;CFP Franc;0;FRENCH POLYNESIA;;
47;CLP;152;$;Chilean Peso;47;CHILE;;
274;XTS;963;;Codes specifically reserved for testing purposes;0;ZZ06_Testing_Code;;
51;COP;170;Col$;Colombian Peso;51;COLOMBIA;;
53;KMF;174;Fr.;Comoro Franc;52;COMOROS;;
55;CDF;976;F;Congolese Franc;0;CONGO  THE DEMOCRATIC REPUBLIC OF;;
30;BAM;977;KM;Convertible Mark;31;BOSNIA AND HERZEGOVINA;;
172;NIO;558;C$;Cordoba Oro;163;NICARAGUA;;
57;CRC;188;₡;Costa Rican Colon;56;COSTA RICA;;
59;HRK;191;kn;Croatian Kuna;58;CROATIA;;
61;CUP;192;$;Cuban Peso;59;CUBA;;
64;CZK;203;Kč;Czech Koruna;61;CZECH REPUBLIC;;
87;GMD;270;D;Dalasi;84;GAMBIA;;
65;DKK;208;Kr;Danish Krone;62;DENMARK;;
141;MKD;807;ден;Denar;134;MACEDONIA  THE FORMER YUGOSLAV REPUBLIC OF;;
66;DJF;262;Fdj;Djibouti Franc;63;DJIBOUTI;;
207;STD;678;Db;Dobra;198;SAO TOME AND PRINCIPE;;
68;DOP;214;RD$;Dominican Peso;65;DOMINICAN REPUBLIC;;
261;VND;704;₫;Dong;247;VIET NAM;;
9;XCD;951;EC$;East Caribbean Dollar;11;ANTIGUA AND BARBUDA;;
70;EGP;818;£;Egyptian Pound;67;EGYPT;;
71;SVC;222;₡;El Salvador Colon;68;EL SALVADOR;;
76;ETB;230;Br;Ethiopian Birr;73;ETHIOPIA;;
78;FKP;238;£;Falkland Islands Pound;0;FALKLAND ISLANDS (MALVINAS);;
80;FJD;242;FJ$;Fiji Dollar;76;FIJI;;
108;HUF;348;Ft;Forint;103;HUNGARY;;
90;GHS;936;GH₵;Ghana Cedi;86;GHANA;;
91;GIP;292;£;Gibraltar Pound;0;GIBRALTAR;;
276;XAU;959;;Gold;0;ZZ08_Gold;;
102;HTG;332;G;Gourde;98;HAITI;;
186;PYG;600;₲;Guarani;177;PARAGUAY;;
99;GNF;324;FG;Guinea Franc;95;GUINEA;;
101;GYD;328;GY$;Guyana Dollar;97;GUYANA;;
107;HKD;344;HK$;Hong Kong Dollar;0;HONG KONG;;
109;ISK;352;kr;Iceland Krona;104;ICELAND;;
26;INR;356;Rs;Indian Rupee;29;BHUTAN;;
110;INR;356;Rs;Indian Rupee;105;INDIA;;
113;IRR;364;﷼;Iranian Rial;107;IRAN  ISLAMIC REPUBLIC OF;;
114;IQD;368;ع.د;Iraqi Dinar;108;IRAQ;;
119;JMD;388;$;Jamaican Dollar;113;JAMAICA;;
122;JOD;400;دينار;Jordanian Dinar;116;JORDAN;;
124;KES;404;KSh;Kenyan Shilling;118;KENYA;;
185;PGK;598;K;Kina;176;PAPUA NEW GUINEA;;
130;LAK;418;₭;Kip;124;LAO PEOPLE’S DEMOCRATIC REPUBLIC;;
128;KWD;414;د.ك;Kuwaiti Dinar;122;KUWAIT;;
143;MWK;454;MK;Kwacha;136;MALAWI;;
7;AOA;973;Kz;Kwanza;8;ANGOLA;;
164;MMK;104;K;Kyat;155;MYANMAR;;
88;GEL;981;lari;Lari;1;GEORGIA;;
131;LVL;428;Ls;Latvian Lats;125;LATVIA;;
132;LBP;422;ل.ل;Lebanese Pound;126;LEBANON;;
3;ALL;8;L;Lek;4;ALBANIA;;
106;HNL;340;L;Lempira;101;HONDURAS;;
212;SLL;694;Le;Leone;203;SIERRA LEONE;;
135;LRD;430;L$;Liberian Dollar;128;LIBERIA;;
136;LYD;434;ل.د;Libyan Dinar;129;LIBYA;;
227;SZL;748;L;Lilangeni;217;SWAZILAND;;
138;LTL;440;Lt;Lithuanian Litas;131;LITHUANIA;;
133;LSL;426;L;Loti;127;LESOTHO;;
142;MGA;969;FMG;Malagasy Ariary;135;MADAGASCAR;;
144;MYR;458;RM;Malaysian Ringgit;137;MALAYSIA;;
151;MUR;480;Rs;Mauritius Rupee;144;MAURITIUS;;
154;MXN;484;$;Mexican Peso;146;MEXICO;;
155;MXV;979;;Mexican Unidad de Inversion (UDI);146;MEXICO;;
157;MDL;498;leu;Moldovan Leu;148;MOLDOVA  REPUBLIC OF;;
162;MAD;504;د.م;Moroccan Dirham;153;MOROCCO;;
265;MAD;504;د.م;Moroccan Dirham;251;WESTERN SAHARA;;
163;MZN;943;MTn;Mozambique Metical;154;MOZAMBIQUE;;
28;BOV;984;;Mvdol;30;BOLIVIA  PLURINATIONAL STATE OF;;
174;NGN;566;₦;Naira;165;NIGERIA;;
74;ERN;232;Nfk;Nakfa;70;ERITREA;;
165;NAD;516;N$;Namibia Dollar;156;NAMIBIA;;
168;NPR;524;NRs;Nepalese Rupee;158;NEPAL;;
62;ANG;532;NAƒ;Netherlands Antillean Guilder;0;CURACAO;;
214;ANG;532;NAƒ;Netherlands Antillean Guilder;0;SINT MAARTEN (DUTCH PART);;
117;ILS;376;₪;New Israeli Sheqel;111;ISRAEL;;
195;RON;946;L;New Romanian Leu;189;ROMANIA;;
233;TWD;901;$;New Taiwan Dollar;221;TAIWAN  PROVINCE OF CHINA;;
56;NZD;554;$;New Zealand Dollar;0;COOK ISLANDS;;
25;BTN;64;Nu.;Ngultrum;29;BHUTAN;;
126;KPW;408;₩;North Korean Won;121;KOREA  DEMOCRATIC PEOPLE’S REPUBLIC OF;;
32;NOK;578;kr;Norwegian Krone;0;BOUVET ISLAND;;
187;PEN;604;S/.;Nuevo Sol;178;PERU;;
150;MRO;478;UM;Ouguiya;143;MAURITANIA;;
240;TOP;776;T$;Pa’anga;229;TONGA;;
180;PKR;586;Rs.;Pakistan Rupee;171;PAKISTAN;;
277;XPD;964;;Palladium;0;ZZ09_Palladium;;
140;MOP;446;MOP$;Pataca;133;MACAO;;
60;CUC;931;;Peso Convertible;59;CUBA;;
256;UYU;858;$;Peso Uruguayo;242;URUGUAY;;
188;PHP;608;₱;Philippine Peso;180;PHILIPPINES;;
278;XPT;962;;Platinum;0;ZZ10_Platinum;;
98;GBP;826;£;Pound Sterling;0;GUERNSEY;;
31;BWP;72;P;Pula;32;BOTSWANA;;
193;QAR;634;ر.ق;Qatari Rial;186;QATAR;;
97;GTQ;320;Q;Quetzal;93;GUATEMALA;;
134;ZAR;710;R;Rand;127;LESOTHO;;
179;OMR;512;ر.ع.;Rial Omani;170;OMAN;;
39;KHR;116;riel;Riel;40;CAMBODIA;;
145;MVR;462;Rf;Rufiyaa;138;MALDIVES;;
111;IDR;360;Rp;Rupiah;106;INDONESIA;;
197;RWF;646;RF;Rwanda Franc;191;RWANDA;;
199;SHP;654;£;Saint Helena Pound;192;SAINT HELENA  ASCENSION AND TRISTAN DA CUNHA;;
208;SAR;682;ر.س;Saudi Riyal;199;SAUDI ARABIA;;
112;XDR;960;;SDR (Special Drawing Right);0;INTERNATIONAL MONETARY FUND (IMF) ;;
210;RSD;941;дин.;Serbian Dinar;201;SERBIA;;
211;SCR;690;SR;Seychelles Rupee;202;SEYCHELLES;;
213;SGD;702;S$;Singapore Dollar;205;SINGAPORE;;
218;SBD;90;SI$;Solomon Islands Dollar;208;SOLOMON ISLANDS;;
129;KGS;417;сом;Som;123;KYRGYZSTAN;;
219;SOS;706;So.;Somali Shilling;209;SOMALIA;;
234;TJS;972;Сом;Somoni;222;TAJIKISTAN;;
221;SSP;728;;South Sudanese Pound;703;SOUTH SUDAN;;
223;LKR;144;Rs;Sri Lanka Rupee;213;SRI LANKA;;
215;XSU;994;;Sucre;0;SISTEMA UNITARIO DE COMPENSACION REGIONAL DE PAGOS SUCRE;;
224;SDG;938;£;Sudanese Pound;214;SUDAN;;
225;SRD;968;$;Surinam Dollar;215;SURINAME;;
228;SEK;752;kr;Swedish Krona;218;SWEDEN;;
137;CHF;756;Fr.;Swiss Franc;130;LIECHTENSTEIN;;
232;SYP;760;S£;Syrian Pound;220;SYRIAN ARAB REPUBLIC;;
18;BDT;50;৳;Taka;22;BANGLADESH;;
205;WST;882;WS$;Tala;196;SAMOA;;
235;TZS;834;/=;Tanzanian Shilling;223;TANZANIA  UNITED REPUBLIC OF;;
123;KZT;398;〒;Tenge;117;KAZAKHSTAN;;
275;XXX;999;;The codes assigned for transactions where no currency is involved;0;ZZ07_No_Currency;;
241;TTD;780;$;Trinidad and Tobago Dollar;230;TRINIDAD AND TOBAGO;;
159;MNT;496;₮;Tugrik;150;MONGOLIA;;
242;TND;788;د.ت;Tunisian Dinar;231;TUNISIA;;
243;TRY;949;TL;Turkish Lira;232;TURKEY;;
244;TMT;934;m;Turkmenistan New Manat;233;TURKMENISTAN;;
249;AED;784;د.إ;UAE Dirham;238;UNITED ARAB EMIRATES;;
247;UGX;800;USh;Uganda Shilling;236;UGANDA;;
273;XFU;0;;UIC-Franc;0;ZZ05_UIC-Franc;;
52;COU;970;;Unidad de Valor Real;51;COLOMBIA;;
46;CLF;990;;Unidades de fomento;47;CHILE;;
255;UYI;940;;Uruguay Peso en Unidades Indexadas (URUIURUI);242;URUGUAY;;
257;UZS;860;сўм;Uzbekistan Sum;243;UZBEKISTAN;;
258;VUV;548;Vt;Vatu;244;VANUATU;;
229;CHE;947;;WIR Euro;219;SWITZERLAND;;
231;CHW;948;;WIR Franc;219;SWITZERLAND;;
127;KRW;410;₩;Won;120;KOREA  REPUBLIC OF;;
266;YER;886;ريال;Yemeni Rial;252;YEMEN;;
120;JPY;392;¥;Yen;114;JAPAN;;
48;CNY;156;¥;Yuan Renminbi;48;CHINA;;
267;ZMW;967;;Zambian Kwacha;255;ZAMBIA;;
268;ZWL;932;$;Zimbabwe Dollar;256;ZIMBABWE;;
190;PLN;985;zł;Zloty;183;POLAND;;
